ticker,call_date,split,predicted,ground_truth,benchmark_rel_return_pct,hit,recommendation,thesisHealth,thesisDelta,stumbleType,credibilityDelta,ratchetTranche,activeDriverCount,blindSpotsTriggered_raw,blindSpotsTriggered_count,threatMechanismImpaired,mitigationArgumentPresent,recommendedSize,capPercent,freshMoneyAllocation
ABBV,2020-02-07,train,bullish,neutral,-0.03,False,Add,Intact,unknown,None,positive,,4,[],0,False,True,7,7,5
ABBV,2020-05-01,train,neutral,bearish,-12.74,False,Hold,Intact,unknown,None,positive,,5,[],0,False,True,8,50,6
ABBV,2020-07-31,train,bullish,bearish,-5.36,False,Add,Intact,unknown,None,positive,,5,[],0,False,True,7,50,5
ABBV,2020-10-30,train,bullish,neutral,3.23,False,Add,Strengthening,unknown,None,positive,,4,[],0,False,True,7,7,5
ABBV,2021-02-03,train,neutral,bearish,-7.36,False,Hold,Strengthening,unknown,None,positive,,5,[],0,False,True,7,50,5
ABBV,2021-04-30,train,bullish,bearish,-7.21,False,Add,Strengthening,unknown,Discovery,positive,,4,[],0,False,True,8,50,6
ABBV,2021-07-30,train,bullish,bullish,17.81,True,Add,Strengthening,up,None,positive,,4,[],0,False,True,10,50,8
ABBV,2021-10-29,train,bullish,bullish,38.38,True,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,7
ABBV,2022-02-02,train,neutral,bullish,11.24,False,Hold,Strengthening,unknown,None,positive,,4,[],0,False,True,8,10,6
ABBV,2022-04-29,train,neutral,bullish,6.07,False,Hold,Intact,flat,Execution,positive,,5,[],0,False,True,8,50,6
ABBV,2022-07-29,train,neutral,neutral,3.46,True,Hold,Intact,flat,Execution,negative,,4,[],0,False,True,7,50,5
ABBV,2022-10-28,train,bearish,neutral,-4.54,False,Trim,Intact,unknown,Execution,neutral,,5,[],0,False,True,15,50,12
ABBV,2023-02-09,train,neutral,bearish,-7.69,False,Hold,Intact,unknown,Execution,neutral,,4,[],0,False,True,8,8,5
ABBV,2023-04-27,train,neutral,neutral,-2.5,True,Hold,Intact,unknown,None,neutral,,5,[],0,False,True,8,50,6
ABBV,2023-07-27,train,bullish,neutral,3.08,False,Add,Strengthening,up,None,positive,,5,[],0,False,True,7,50,6
ABBV,2023-10-27,train,neutral,bearish,-8.87,False,Hold,Intact,up,None,positive,,3,[],0,False,True,8,50,6
ABBV,2024-02-02,train,bullish,neutral,4.43,False,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,7,7,5
ABBV,2024-04-26,train,neutral,neutral,3.76,True,Hold,Strengthening,up,None,positive,,4,[],0,False,True,8,50,6
ABBV,2024-07-25,train,bullish,bearish,-19.56,False,Add,Strengthening,up,Discovery,positive,,5,[],0,False,True,7,7,6
ABBV,2024-10-30,train,neutral,neutral,1.22,True,Hold,Strengthening,up,Discovery,positive,,5,[],0,False,True,8,50,6
ABBV,2025-01-31,train,bullish,neutral,2.85,False,Add,Strengthening,unknown,Execution,positive,,5,[],0,False,True,8,8,6
ABBV,2025-04-25,train,bullish,neutral,-0.46,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,8,8,6
ABBV,2025-07-31,train,bullish,bullish,6.81,True,Add,Strengthening,up,None,positive,,4,[],0,False,True,8,50,6
ABBV,2025-10-31,train,bullish,bearish,-10.9,False,Add,Strengthening,unknown,None,positive,,4,[],0,False,True,12,50,10
AEP,2020-05-06,train,neutral,bearish,-6.48,False,Hold,Intact,unknown,Discovery,positive,,4,[],0,False,True,5,5,4
AEP,2020-08-06,train,neutral,bearish,-19.21,False,Hold,Intact,unknown,None,neutral,,4,[],0,False,True,5,50,4
AEP,2020-10-22,train,neutral,bearish,-24.24,False,Hold,Intact,unknown,None,neutral,,4,[],0,False,True,8,8,6
AEP,2021-02-25,train,neutral,neutral,0.25,True,Hold,Intact,unknown,None,positive,,,[],0,False,True,6,35,5
AEP,2021-07-22,train,neutral,neutral,3.35,True,Hold,Intact,unknown,None,neutral,,4,[],0,False,True,7,7,5
AEP,2021-10-28,train,neutral,bullish,27.58,False,Hold,Intact,flat,None,neutral,,4,[],0,False,True,5,5,3
AEP,2022-02-24,train,bullish,bullish,21.48,True,Add,Strengthening,unknown,None,positive,,,[],0,False,True,5,35,4
AEP,2022-04-28,train,neutral,neutral,-3.71,True,Hold,Intact,unknown,None,positive,,4,[],0,False,True,7,7,5
AEP,2022-07-27,train,neutral,neutral,-3.92,True,Hold,Intact,unknown,None,neutral,,,[],0,False,True,5,35,4
AEP,2022-10-27,train,neutral,neutral,-2.08,True,Hold,Intact,unknown,None,positive,,,[],0,False,True,8,35,6
AEP,2023-02-23,train,neutral,bearish,-22.14,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,5,5,3
AEP,2023-05-04,train,neutral,bearish,-19.67,False,Hold,Intact,unknown,Execution,neutral,,,[],0,False,True,4,35,2
AEP,2023-07-27,train,neutral,bearish,-16.26,False,Hold,Intact,unknown,Execution,neutral,,,[],0,False,True,4,35,3
AEP,2023-11-02,train,neutral,bearish,-5.87,False,Hold,Intact,unknown,None,positive,,4,[],0,False,True,4,4,3
AEP,2024-02-27,train,neutral,bullish,6.44,False,Hold,Intact,unknown,Execution,negative,,,[],0,False,True,20,35,12
AEP,2024-04-30,train,neutral,neutral,-2.69,True,Hold,Intact,unknown,None,neutral,,4,[],0,False,True,6,50,4
AEP,2024-07-30,train,neutral,bearish,-9.64,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,7,35,4
AEP,2024-11-06,train,bullish,bullish,16.72,True,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,7,50,5
AEP,2025-02-13,train,bullish,bullish,5.98,True,Add,Strengthening,up,None,positive,,5,[],0,False,True,7,50,6
AEP,2025-05-06,train,bullish,bearish,-8.87,False,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,6
AEP,2025-07-30,train,bullish,neutral,-4.42,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,7,50,6
AEP,2025-11-05,train,bullish,neutral,2.39,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,6,6,5
AIG,2020-05-05,train,neutral,bullish,13.83,False,Hold,Intact,unknown,Discovery,neutral,,4,[],0,False,True,4,4,2
AIG,2020-08-04,train,neutral,bullish,14.18,False,Hold,Intact,unknown,Discovery,positive,,3,[],0,False,True,8,50,5
AIG,2020-11-06,train,neutral,bullish,33.82,False,Hold,Intact,unknown,None,neutral,,4,[],0,True,True,4,4,2
AIG,2021-02-17,train,neutral,bullish,12.32,False,Hold,Intact,unknown,None,positive,,3,[],0,False,True,8,50,5
AIG,2021-05-07,train,neutral,neutral,4.18,True,Hold,Intact,unknown,None,positive,,3,[],0,False,True,20,50,12
AIG,2021-08-06,train,bullish,bullish,18.3,True,Add,Strengthening,up,None,positive,,4,[],0,False,True,18,50,14
AIG,2021-11-05,train,bullish,bullish,17.75,True,Add,Strengthening,up,Discovery,positive,,5,[],0,False,True,8,50,6
AIG,2022-02-17,train,neutral,neutral,-4.5,True,Hold,Intact,up,None,positive,,4,[],0,False,True,5,50,3
AIG,2022-05-04,train,bullish,neutral,2.21,False,Add,Strengthening,unknown,None,positive,,4,[],0,False,True,8,50,7
AIG,2022-08-09,train,neutral,bullish,12.25,False,Hold,Strengthening,up,None,neutral,,4,[],0,False,True,8,50,6
AIG,2022-11-02,train,bullish,bearish,-19.2,False,Add,Strengthening,up,None,positive,,3,[],0,False,True,6,50,4
AIG,2023-02-16,train,bullish,bearish,-13.46,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,7,7,5
AIG,2023-05-05,train,bullish,bullish,13.15,True,Add,Strengthening,unknown,None,positive,,4,[],0,False,True,12,12,9
AIG,2023-08-02,train,bullish,bullish,6.17,True,Add,Strengthening,unknown,None,positive,,4,[],0,False,True,8,50,6
AIG,2023-11-02,train,neutral,neutral,4.11,True,Hold,Strengthening,up,None,positive,,4,[],0,False,True,9,50,7
AIG,2024-02-14,train,bullish,neutral,-3.65,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,18,50,15
AIG,2024-05-02,train,neutral,bearish,-15.44,False,Hold,Strengthening,up,None,positive,,5,[],0,False,True,8,50,5
AIG,2024-08-01,train,bullish,bearish,-10.74,False,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,8,6
AIG,2024-11-05,train,bullish,bullish,12.57,True,Add,Strengthening,up,None,positive,,5,[],0,False,True,12,12,10
AIG,2025-02-12,train,neutral,neutral,-2.94,True,Hold,Strengthening,up,None,positive,,5,[],0,False,True,8,50,6
AIG,2025-05-02,train,bullish,bearish,-25.96,False,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,6
AIG,2025-08-07,train,bullish,bearish,-8.01,False,Add,Strengthening,up,None,positive,,4,[],0,False,True,8,50,6
AIG,2025-11-05,train,bullish,bearish,-6.51,False,Add,Strengthening,up,None,positive,,5,[],0,False,True,18,50,15
AMPX,2022-11-10,train,neutral,bearish,-21.09,False,Hold,Intact,unknown,None,neutral,,,[],0,,True,3,35,2
AMPX,2023-03-23,train,neutral,bearish,-57.96,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,5,35,3
AMPX,2023-05-10,train,neutral,bearish,-71.46,False,Hold,Intact,unknown,None,neutral,,,[],0,True,True,4,35,2
AMPX,2023-08-10,train,neutral,bearish,-46.9,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,4,35,2
AMPX,2023-11-09,train,neutral,bearish,-38.58,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,3,35,2
AMPX,2024-03-21,train,neutral,bearish,-79.78,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,3,35,1
AMPX,2024-05-09,train,neutral,bearish,-55.94,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,5,35,3
AMPX,2024-08-08,train,neutral,bullish,167.56,False,Hold,Intact,unknown,None,neutral,,3,[],0,False,True,8,50,4
AMPX,2024-11-07,train,neutral,bullish,96.67,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,8,35,4
AMPX,2025-03-20,train,neutral,bullish,379.42,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,6,35,3
AMPX,2025-05-08,train,neutral,bullish,333.58,False,Hold,Intact,unknown,None,neutral,,,[],0,False,True,5,35,3
AMPX,2025-08-07,train,bullish,bullish,29.87,True,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,6
AMPX,2025-11-06,train,bullish,bullish,33.93,True,Add,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,6
BLK,2020-01-15,train,bullish,bullish,9.16,True,Add,Strengthening,unknown,None,positive,,5,[],0,False,False,7,50,6
BLK,2020-04-16,train,neutral,bullish,16.29,False,Hold,Intact,unknown,None,positive,,5,[],0,False,True,7,50,5
BLK,2020-07-17,train,bullish,bullish,7.05,True,Add,Strengthening,unknown,None,positive,,6,[],0,False,True,8,50,6
BLK,2020-09-29,train,bullish,bullish,16.29,True,Add,Strengthening,unknown,None,positive,,6,[],0,False,True,8,50,7
BLK,2021-01-14,train,neutral,neutral,3.49,True,Hold,Strengthening,unknown,None,positive,,5,[],0,False,True,8,50,5
BLK,2021-04-15,train,bullish,neutral,2.73,False,Add,Strengthening,unknown,None,positive,,5,[],0,False,False,8,50,6
